Real_Goal,Results,BACC,Precision,Recall
0,0/4/,0.9,0.5,1.0
1,1/,1.0,1.0,1.0
2,2/3/5/,0.8,0.3333333333333333,1.0
3,0/4/,0.3,0.0,0.0
4,1/,0.4,0.0,0.0
5,2/3/5/,0.8,0.3333333333333333,1.0
0,0/4/,0.9,0.5,1.0
1,1/2/3/5/,0.7,0.25,1.0
2,2/3/5/,0.8,0.3333333333333333,1.0
3,0/4/,0.3,0.0,0.0
4,1/,0.4,0.0,0.0
5,2/3/5/,0.8,0.3333333333333333,1.0
0,0/4/,0.9,0.5,1.0
1,1/,1.0,1.0,1.0
2,2/3/5/,0.8,0.3333333333333333,1.0
3,0/4/,0.3,0.0,0.0
4,1/,0.4,0.0,0.0
5,1/,0.4,0.0,0.0
0,0/4/,0.9,0.5,1.0
1,1/,1.0,1.0,1.0
2,2/3/5/,0.8,0.3333333333333333,1.0
3,0/4/,0.3,0.0,0.0
4,1/,0.4,0.0,0.0
5,1/,0.4,0.0,0.0
0,0/4/,0.9,0.5,1.0
1,1/,1.0,1.0,1.0
2,2/3/5/,0.8,0.3333333333333333,1.0
3,0/4/,0.3,0.0,0.0
4,1/,0.4,0.0,0.0
5,1/,0.4,0.0,0.0
0,0/4/,0.9,0.5,1.0
1,1/,1.0,1.0,1.0
2,2/3/5/,0.8,0.3333333333333333,1.0
3,0/4/,0.3,0.0,0.0
4,1/,0.4,0.0,0.0
5,1/,0.4,0.0,0.0
0,0/4/,0.9,0.5,1.0
1,1/,1.0,1.0,1.0
2,2/3/5/,0.8,0.3333333333333333,1.0
3,0/4/,0.3,0.0,0.0
4,1/,0.4,0.0,0.0
5,2/3/5/,0.8,0.3333333333333333,1.0
0,0/4/,0.9,0.5,1.0
1,1/,1.0,1.0,1.0
2,2/3/5/,0.8,0.3333333333333333,1.0
3,0/4/,0.3,0.0,0.0
4,1/,0.4,0.0,0.0
5,1/,0.4,0.0,0.0
0,0/4/,0.9,0.5,1.0
1,1/,1.0,1.0,1.0
2,2/3/5/,0.8,0.3333333333333333,1.0
3,0/4/,0.3,0.0,0.0
4,1/,0.4,0.0,0.0
5,2/3/5/,0.8,0.3333333333333333,1.0
0,0/4/,0.9,0.5,1.0
1,1/,1.0,1.0,1.0
2,2/3/5/,0.8,0.3333333333333333,1.0
3,0/4/,0.3,0.0,0.0
4,1/2/3/5/,0.1,0.0,0.0
5,0/,0.4,0.0,0.0
