Real_Goal,Results,BACC,Precision,Recall
0,0/1/,0.9444444444444444,0.5,1.0
1,1/3/,0.9444444444444444,0.5,1.0
2,2/,1.0,1.0,1.0
3,6/,0.4444444444444444,0.0,0.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,5/6/,0.9444444444444444,0.5,1.0
7,5/6/7/8/9/,0.7777777777777778,0.2,1.0
8,7/8/9/,0.8888888888888888,0.3333333333333333,1.0
9,5/7/8/9/,0.8333333333333333,0.25,1.0
0,7/,0.4444444444444444,0.0,0.0
1,1/3/,0.9444444444444444,0.5,1.0
2,2/3/,0.9444444444444444,0.5,1.0
3,1/3/5/,0.8888888888888888,0.3333333333333333,1.0
4,4/5/7/,0.8888888888888888,0.3333333333333333,1.0
5,8/9/,0.3888888888888889,0.0,0.0
6,5/,0.4444444444444444,0.0,0.0
7,9/,0.4444444444444444,0.0,0.0
8,6/,0.4444444444444444,0.0,0.0
9,7/9/,0.9444444444444444,0.5,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/3/,0.9444444444444444,0.5,1.0
3,1/3/,0.9444444444444444,0.5,1.0
4,1/4/,0.9444444444444444,0.5,1.0
5,9/,0.4444444444444444,0.0,0.0
6,5/,0.4444444444444444,0.0,0.0
7,9/,0.4444444444444444,0.0,0.0
8,4/5/7/,0.3333333333333333,0.0,0.0
9,7/8/9/,0.8888888888888888,0.3333333333333333,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,1/3/,0.9444444444444444,0.5,1.0
4,7/,0.4444444444444444,0.0,0.0
5,8/9/,0.3888888888888889,0.0,0.0
6,5/6/,0.9444444444444444,0.5,1.0
7,5/6/7/8/9/,0.7777777777777778,0.2,1.0
8,5/6/7/,0.3333333333333333,0.0,0.0
9,3/5/,0.3888888888888889,0.0,0.0
0,2/,0.4444444444444444,0.0,0.0
1,1/3/,0.9444444444444444,0.5,1.0
2,2/,1.0,1.0,1.0
3,3/7/9/,0.8888888888888888,0.3333333333333333,1.0
4,3/4/,0.9444444444444444,0.5,1.0
5,5/,1.0,1.0,1.0
6,5/,0.4444444444444444,0.0,0.0
7,9/,0.4444444444444444,0.0,0.0
8,5/7/8/9/,0.8333333333333333,0.25,1.0
9,1/3/5/7/9/,0.7777777777777778,0.2,1.0
0,1/,0.4444444444444444,0.0,0.0
1,1/3/,0.9444444444444444,0.5,1.0
2,2/9/,0.9444444444444444,0.5,1.0
3,1/3/5/7/9/,0.7777777777777778,0.2,1.0
4,7/,0.4444444444444444,0.0,0.0
5,8/9/,0.3888888888888889,0.0,0.0
6,5/6/,0.9444444444444444,0.5,1.0
7,7/8/9/,0.8888888888888888,0.3333333333333333,1.0
8,5/6/7/8/9/,0.7777777777777778,0.2,1.0
9,1/7/8/,0.3333333333333333,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/3/,0.9444444444444444,0.5,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,5/7/8/9/,0.2777777777777778,0.0,0.0
5,8/9/,0.3888888888888889,0.0,0.0
6,5/6/,0.9444444444444444,0.5,1.0
7,7/8/,0.9444444444444444,0.5,1.0
8,1/4/5/7/8/9/,0.7222222222222222,0.16666666666666666,1.0
9,7/8/9/,0.8888888888888888,0.3333333333333333,1.0
0,0/,1.0,1.0,1.0
1,1/3/,0.9444444444444444,0.5,1.0
2,2/,1.0,1.0,1.0
3,1/3/5/,0.8888888888888888,0.3333333333333333,1.0
4,5/7/8/9/,0.2777777777777778,0.0,0.0
5,5/,1.0,1.0,1.0
6,5/,0.4444444444444444,0.0,0.0
7,7/8/9/,0.8888888888888888,0.3333333333333333,1.0
8,7/8/9/,0.8888888888888888,0.3333333333333333,1.0
9,7/8/9/,0.8888888888888888,0.3333333333333333,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,4/,0.4444444444444444,0.0,0.0
4,7/,0.4444444444444444,0.0,0.0
5,8/9/,0.3888888888888889,0.0,0.0
6,8/,0.4444444444444444,0.0,0.0
7,5/7/8/9/,0.8333333333333333,0.25,1.0
8,7/8/,0.9444444444444444,0.5,1.0
9,5/7/8/9/,0.8333333333333333,0.25,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,1/3/5/,0.8888888888888888,0.3333333333333333,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
7,6/7/8/9/,0.8333333333333333,0.25,1.0
8,6/7/8/9/,0.8333333333333333,0.25,1.0
9,4/7/,0.3888888888888889,0.0,0.0
