"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","92391700","1098/373066/373066/","1.0/1.0197832531414193E-147/1.0197832531414193E-147/","0/","no"
"1","95122300","101165/272/2111/","3.1379980425603482E-161/0.9988143333708808/0.0011856666291193251/","1/","no"
"2","94461600","101165/15712/60/","0.0/3.666972834295987E-112/1.0/","2/","no"
"3","91976100","101165/15712/5922/","8.716986407422448E-8/0.1607202627965777/0.8392796500335582/","2/","no"
"4","91550700","4773/207616/1740/","0.14904610778563504/3.748845594491562E-52/0.8509538922143649/","2/","no"
"5","90560500","1317511/3944/1505/","0.0/0.1652708148741465/0.8347291851258535/","2/","no"
"0","90974300","1098/373066/373066/","1.0/1.0197832531414193E-147/1.0197832531414193E-147/","0/","no"
"1","94025400","101165/2268/806/","8.416985655689649E-55/0.1404390583899402/0.8595609416100598/","2/","no"
"2","90233700","101165/244/272/","6.720964497190833E-180/0.5285403709822651/0.4714596290177348/","1/2/","no"
"3","93234500","373066/58441/93/","0.0/2.650029714815576E-270/1.0/","2/","no"
"4","92673600","31982/80868/1563/","3.57432855714643E-9/9.515627015486262E-23/0.9999999964256715/","2/","no"
"5","91630800","1317511/11076/1469/","0.0/0.0014490830764075015/0.9985509169235924/","2/","no"
"0","86993700","246/373066/373066/","1.0/0.0/0.0/","0/","no"
"1","92213700","101165/691/717/","4.469456580247877E-64/0.5093919587442471/0.4906080412557529/","1/2/","no"
"2","91725000","101165/15712/50/","0.0/4.256142550623307E-134/1.0/","2/","no"
"3","89301500","101165/5961/2178/","1.586755096441775E-20/0.14980675781405595/0.850193242185944/","2/","no"
"4","91544700","208227/31884/1531/","2.5432948665094664E-59/2.4858201593050673E-9/0.9999999975141799/","2/","no"
"5","92285500","1317511/11115/1448/","0.0/0.0012648986433535243/0.9987351013566464/","2/","no"
"0","91720500","58441/373066/373066/","0.9909005073794401/0.004549746310280004/0.004549746310280004/","0/","no"
"1","89414500","101165/93/691/","0.0/0.998276549795858/0.0017234502041418725/","1/","no"
"2","94402500","101165/717/209/","1.510078479218192E-209/0.081731704740206/0.918268295259794/","2/","no"
"3","89464400","101165/15712/5922/","8.716986407422448E-8/0.1607202627965777/0.8392796500335582/","2/","no"
"4","94154900","81915/207616/1619/","2.9785599548804476E-22/5.9662777014821655E-56/1.0/","2/","no"
"5","90634000","1317511/3944/1505/","0.0/0.1652708148741465/0.8347291851258535/","2/","no"
"0","93916200","941/373066/373066/","1.0/2.7386935649787696E-172/2.7386935649787696E-172/","0/","no"
"1","90514900","373066/354/2884/","0.0/0.9991973273278896/8.026726721103655E-4/","1/","no"
"2","89838500","101165/2111/691/","7.77518628329692E-64/0.11384811568515919/0.8861518843148408/","2/","no"
"3","92767300","373066/22523/181/","0.0/4.8615302929231126E-54/1.0/","2/","no"
"4","91497600","525508/31563/1511/","3.1002619437474946E-151/2.334048839663162E-9/0.9999999976659513/","2/","no"
"5","90749600","1317511/11115/1448/","0.0/0.0012648986433535243/0.9987351013566464/","2/","no"
"0","95145300","246/373066/373066/","1.0/0.0/0.0/","0/","no"
"1","91618500","101165/868/122/","0.0/0.0023172813304051477/0.9976827186695949/","2/","no"
"2","89914200","101165/697/198/","4.141782823938023E-221/0.07533144653393656/0.9246685534660635/","2/","no"
"3","91938900","101165/2111/691/","7.77518628329692E-64/0.11384811568515919/0.8861518843148408/","2/","no"
"4","90758200","31982/207616/1740/","2.858234075084121E-8/4.4054625305085305E-52/0.9999999714176592/","2/","no"
"5","91026200","1317511/3803/1448/","0.0/0.16448089383270964/0.8355191061672904/","2/","no"
"0","89362400","246/373066/373066/","1.0/0.0/0.0/","0/","no"
"1","94419500","373066/50/2951/","0.0/1.0/1.9783721966512672E-25/","1/","no"
"2","91197300","101165/691/50/","0.0/3.4794687619070422E-6/0.999996520531238/","2/","no"
"3","90228800","101165/15712/5922/","8.716986407422448E-8/0.1607202627965777/0.8392796500335582/","2/","no"
"4","90462200","4773/207616/1688/","0.1386528164609399/9.653359787342397E-54/0.86134718353906/","2/","no"
"5","93796000","1317511/11076/1505/","0.0/0.001734594198525475/0.9982654058014745/","2/","no"
"0","87119500","246/373066/373066/","1.0/0.0/0.0/","0/","no"
"1","90153000","101165/691/753/","4.5834489447692615E-64/0.5223838723701797/0.4776161276298203/","1/2/","no"
"2","91641500","101165/79/50/","0.0/0.36155359365622713/0.6384464063437728/","2/","no"
"3","89465000","101165/2111/691/","7.77518628329692E-64/0.11384811568515919/0.8861518843148408/","2/","no"
"4","90992500","81915/207616/1619/","2.9785599548804476E-22/5.9662777014821655E-56/1.0/","2/","no"
"5","91971200","1317511/11115/1448/","0.0/0.0012648986433535243/0.9987351013566464/","2/","no"
"0","88157900","354/373066/373066/","1.0/0.0/0.0/","0/","no"
"1","92414100","101165/753/717/","8.95455699378531E-62/0.48746780638768333/0.5125321936123166/","1/2/","no"
"2","94782800","101165/15712/50/","0.0/4.256142550623307E-134/1.0/","2/","no"
"3","93109400","101165/2111/272/","3.1379980425603482E-161/0.0011856666291193251/0.9988143333708808/","2/","no"
"4","91271700","31982/81670/1583/","4.627320401259312E-9/1.1017472115039959E-22/0.9999999953726797/","2/","no"
"5","94053600","1317511/3944/1505/","0.0/0.1652708148741465/0.8347291851258535/","2/","no"
"0","91933200","354/373066/373066/","1.0/0.0/0.0/","0/","yes"
"1","98735800","101165/93/691/","0.0/0.998276549795858/0.0017234502041418725/","1/","yes"
"2","98261000","373066/920/50/","0.0/3.9034359399062225E-8/0.9999999609656406/","2/","yes"
"3","99309700","101165/697/717/","1.5635751343790932E-63/0.5071628337249754/0.4928371662750247/","1/2/","yes"
"4","99922200","525508/11283/1475/11283/","6.437780770020292E-155/0.0012971520803289264/0.9974056958393422/0.0012971520803289264/","2/","yes"
"5","105181800","1317511/4403/1505/1505/200/","0.0/8.267881799670205E-10/0.0015101260775371634/0.0015101260775371634/0.9969797470181374/","4/","yes"
