Real_Goal,Results,BACC,Precision,Recall
0,0/,1.0,1.0,1.0
1,0/,0.42857142857142855,0.0,0.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,3/,0.42857142857142855,0.0,0.0
6,2/,0.42857142857142855,0.0,0.0
7,1/,0.42857142857142855,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,3/,0.42857142857142855,0.0,0.0
5,1/,0.42857142857142855,0.0,0.0
6,0/,0.42857142857142855,0.0,0.0
7,3/,0.42857142857142855,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,2/,0.42857142857142855,0.0,0.0
4,4/,1.0,1.0,1.0
5,4/,0.42857142857142855,0.0,0.0
6,2/,0.42857142857142855,0.0,0.0
7,3/,0.42857142857142855,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,4/,0.42857142857142855,0.0,0.0
4,4/,1.0,1.0,1.0
5,2/4/,0.35714285714285715,0.0,0.0
6,4/,0.42857142857142855,0.0,0.0
7,0/,0.42857142857142855,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,3/,0.42857142857142855,0.0,0.0
6,2/4/,0.35714285714285715,0.0,0.0
7,3/,0.42857142857142855,0.0,0.0
0,0/,1.0,1.0,1.0
1,4/,0.42857142857142855,0.0,0.0
2,0/,0.42857142857142855,0.0,0.0
3,1/,0.42857142857142855,0.0,0.0
4,4/,1.0,1.0,1.0
5,4/,0.42857142857142855,0.0,0.0
6,3/,0.42857142857142855,0.0,0.0
7,1/,0.42857142857142855,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,3/,0.42857142857142855,0.0,0.0
5,3/,0.42857142857142855,0.0,0.0
6,3/,0.42857142857142855,0.0,0.0
7,2/,0.42857142857142855,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,0/,0.42857142857142855,0.0,0.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,0/,0.42857142857142855,0.0,0.0
6,2/,0.42857142857142855,0.0,0.0
7,1/,0.42857142857142855,0.0,0.0
0,1/,0.42857142857142855,0.0,0.0
1,1/,1.0,1.0,1.0
2,0/,0.42857142857142855,0.0,0.0
3,2/4/,0.35714285714285715,0.0,0.0
4,4/,1.0,1.0,1.0
5,2/,0.42857142857142855,0.0,0.0
6,4/,0.42857142857142855,0.0,0.0
7,1/,0.42857142857142855,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,4/,0.42857142857142855,0.0,0.0
4,4/,1.0,1.0,1.0
5,0/,0.42857142857142855,0.0,0.0
6,5/,0.42857142857142855,0.0,0.0
7,0/4/5/,0.2857142857142857,0.0,0.0
