Real_Goal,Results,BACC,Precision,Recall
17,7/,0.47368421052631576,0.0,0.0
18,1/14/18/,0.9473684210526316,0.3333333333333333,1.0
19,0/19/,0.9736842105263157,0.5,1.0
0,0/,1.0,1.0,1.0
1,6/,0.47368421052631576,0.0,0.0
2,2/,1.0,1.0,1.0
3,0/1/2/3/4/5/7/8/10/11/12/16/18/19/,0.6578947368421053,0.07142857142857142,1.0
4,4/,1.0,1.0,1.0
5,0/,0.47368421052631576,0.0,0.0
6,1/,0.47368421052631576,0.0,0.0
7,0/19/,0.4473684210526316,0.0,0.0
8,3/,0.47368421052631576,0.0,0.0
9,3/,0.47368421052631576,0.0,0.0
10,16/,0.47368421052631576,0.0,0.0
11,3/,0.47368421052631576,0.0,0.0
12,0/,0.47368421052631576,0.0,0.0
13,7/,0.47368421052631576,0.0,0.0
14,14/18/,0.9736842105263157,0.5,1.0
15,3/,0.47368421052631576,0.0,0.0
16,7/,0.47368421052631576,0.0,0.0
17,5/7/,0.4473684210526316,0.0,0.0
18,1/14/18/,0.9473684210526316,0.3333333333333333,1.0
19,0/19/,0.9736842105263157,0.5,1.0
0,10/,0.47368421052631576,0.0,0.0
1,6/,0.47368421052631576,0.0,0.0
2,2/3/4/8/10/11/12/16/18/19/,0.763157894736842,0.1,1.0
3,3/,1.0,1.0,1.0
4,0/5/14/,0.42105263157894735,0.0,0.0
5,0/,0.47368421052631576,0.0,0.0
6,0/19/,0.4473684210526316,0.0,0.0
7,0/7/,0.9736842105263157,0.5,1.0
8,1/,0.47368421052631576,0.0,0.0
9,7/,0.47368421052631576,0.0,0.0
10,19/,0.47368421052631576,0.0,0.0
11,7/,0.47368421052631576,0.0,0.0
12,7/,0.47368421052631576,0.0,0.0
13,0/7/,0.4473684210526316,0.0,0.0
14,1/6/,0.4473684210526316,0.0,0.0
15,15/,1.0,1.0,1.0
16,7/,0.47368421052631576,0.0,0.0
17,0/7/,0.4473684210526316,0.0,0.0
18,17/,0.47368421052631576,0.0,0.0
19,5/19/,0.9736842105263157,0.5,1.0
