Real_Goal,Results,BACC,Precision,Recall
0,0/,1.0,1.0,1.0
1,1/4/5/,0.8,0.3333333333333333,1.0
2,2/3/,0.9,0.5,1.0
3,2/3/,0.9,0.5,1.0
4,1/4/5/,0.8,0.3333333333333333,1.0
5,0/,0.4,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/4/5/,0.8,0.3333333333333333,1.0
2,1/4/5/,0.2,0.0,0.0
3,1/4/5/,0.2,0.0,0.0
4,1/4/5/,0.8,0.3333333333333333,1.0
5,0/,0.4,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/4/5/,0.8,0.3333333333333333,1.0
2,2/3/,0.9,0.5,1.0
3,2/3/,0.9,0.5,1.0
4,1/4/5/,0.8,0.3333333333333333,1.0
5,0/,0.4,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/4/5/,0.8,0.3333333333333333,1.0
2,1/4/5/,0.2,0.0,0.0
3,2/3/,0.9,0.5,1.0
4,1/4/5/,0.8,0.3333333333333333,1.0
5,0/,0.4,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/4/5/,0.8,0.3333333333333333,1.0
2,2/3/,0.9,0.5,1.0
3,2/3/,0.9,0.5,1.0
4,0/,0.4,0.0,0.0
5,0/,0.4,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/4/5/,0.8,0.3333333333333333,1.0
2,1/4/5/,0.2,0.0,0.0
3,2/3/,0.9,0.5,1.0
4,1/4/5/,0.8,0.3333333333333333,1.0
5,0/,0.4,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/4/5/,0.8,0.3333333333333333,1.0
2,1/4/5/,0.2,0.0,0.0
3,2/3/,0.9,0.5,1.0
4,1/4/5/,0.8,0.3333333333333333,1.0
5,0/,0.4,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/4/5/,0.8,0.3333333333333333,1.0
2,2/3/,0.9,0.5,1.0
3,2/3/,0.9,0.5,1.0
4,1/4/5/,0.8,0.3333333333333333,1.0
5,0/,0.4,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/4/5/,0.8,0.3333333333333333,1.0
2,1/4/5/,0.2,0.0,0.0
3,2/3/,0.9,0.5,1.0
4,1/4/5/,0.8,0.3333333333333333,1.0
5,0/,0.4,0.0,0.0
0,0/,1.0,1.0,1.0
1,1/4/5/,0.8,0.3333333333333333,1.0
2,2/3/,0.9,0.5,1.0
3,2/3/,0.9,0.5,1.0
4,1/4/5/,0.8,0.3333333333333333,1.0
5,0/,0.4,0.0,0.0
