Real_Goal,Results,BACC,Precision,Recall
0,6/,0.4166666666666667,0.0,0.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,3/4/,0.9166666666666667,0.5,1.0
5,0/,0.4166666666666667,0.0,0.0
6,6/,1.0,1.0,1.0
0,3/5/,0.3333333333333333,0.0,0.0
1,1/2/3/,0.8333333333333333,0.3333333333333333,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,0/,0.4166666666666667,0.0,0.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
0,5/,0.4166666666666667,0.0,0.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,0/,0.4166666666666667,0.0,0.0
5,6/,0.4166666666666667,0.0,0.0
6,3/6/,0.9166666666666667,0.5,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,1/3/,0.3333333333333333,0.0,0.0
3,6/,0.4166666666666667,0.0,0.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,6/,0.4166666666666667,0.0,0.0
3,3/,1.0,1.0,1.0
4,0/,0.4166666666666667,0.0,0.0
5,0/,0.4166666666666667,0.0,0.0
6,6/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,0/2/,0.9166666666666667,0.5,1.0
3,3/,1.0,1.0,1.0
4,3/,0.4166666666666667,0.0,0.0
5,4/5/,0.9166666666666667,0.5,1.0
6,3/6/,0.9166666666666667,0.5,1.0
0,0/,1.0,1.0,1.0
1,0/1/,0.9166666666666667,0.5,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,4/,1.0,1.0,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,4/,0.4166666666666667,0.0,0.0
2,2/,1.0,1.0,1.0
3,6/,0.4166666666666667,0.0,0.0
4,4/5/,0.9166666666666667,0.5,1.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
0,0/2/,0.9166666666666667,0.5,1.0
1,0/1/,0.9166666666666667,0.5,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,1/,0.4166666666666667,0.0,0.0
5,6/,0.4166666666666667,0.0,0.0
6,6/,1.0,1.0,1.0
0,0/,1.0,1.0,1.0
1,1/,1.0,1.0,1.0
2,2/,1.0,1.0,1.0
3,3/,1.0,1.0,1.0
4,5/,0.4166666666666667,0.0,0.0
5,5/,1.0,1.0,1.0
6,6/,1.0,1.0,1.0
