"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","109099200","50/234390286/93157409/","1.0/0.0/0.0/","0/","no"
"1","108959500","30230137/50/76174004/","0.0/1.0/0.0/","1/4/5/","no"
"2","105943900","505/4290/50/","1.3346088794479016E-4/7.83233023381267E-37/0.9998665391120551/","2/3/","no"
"3","99150800","2364241/2364241/20251/","5.423158397616184E-51/5.423158397616184E-51/1.0/","2/3/","no"
"4","101423800","17811786/1622/112196018/","0.0/1.0/0.0/","1/4/5/","no"
"5","105778900","1317/32293838/87134835/","1.0/0.0/0.0/","0/","no"
"0","106312000","3488/234390286/93157409/","1.0/0.0/0.0/","0/","no"
"1","105224900","30230137/50/76174004/","0.0/1.0/0.0/","1/4/5/","no"
"2","101259700","505/4290/50/","1.3346088794479016E-4/7.83233023381267E-37/0.9998665391120551/","2/3/","no"
"3","110693100","930399/1284/50/","0.0/3.1029634036345144E-11/0.9999999999689704/","2/3/","no"
"4","101880500","17811786/1072/112196018/","0.0/1.0/0.0/","1/4/5/","no"
"5","103973000","1327/209340009/2147483647/","1.0/0.0/0.0/","0/","no"
"0","100576800","50/234390286/93157409/","1.0/0.0/0.0/","0/","no"
"1","103303700","234390286/50/1469863019/","0.0/1.0/0.0/","1/4/5/","no"
"2","101181800","505/1284/50/","1.3346088794064946E-4/3.1025492793834174E-11/0.9998665390810338/","2/3/","no"
"3","99992900","930399/1284/50/","0.0/3.1029634036345144E-11/0.9999999999689704/","2/3/","no"
"4","101325100","2707229/435808/1783526897/","0.005421403394687993/0.9945785966053121/0.0/","1/4/5/","no"
"5","102898100","84838/1359902687/2147483647/","1.0/0.0/0.0/","0/","no"
"0","110466500","50/93157409/234390286/","1.0/0.0/0.0/","0/","no"
"1","102564600","93157409/50/587572708/","0.0/1.0/0.0/","1/4/5/","no"
"2","104549800","3030195/669/67603/","0.0/1.0/4.105188060597977E-44/","1/4/5/","no"
"3","103320900","930399/2364241/137249/","0.003082673010015321/8.951188334290858E-8/0.9969172374781013/","2/3/","no"
"4","99456400","17811786/711813722/112196018/","0.9950281350871962/1.1923074963129825E-17/0.004971864912803721/","0/","no"
"5","105959700","95763/13338795/2147483647/","1.0/8.75374982541293E-61/0.0/","0/","no"
"0","102894900","50/17682/30230137/","1.0/7.133905539943352E-151/0.0/","0/","no"
"1","101927000","30230137/50/191073762/","0.0/1.0/0.0/","1/4/5/","no"
"2","105076100","4290/669/455732/","0.004476275517717062/0.995523724482283/1.06142107442125E-295/","1/4/5/","no"
"3","101389400","144188/2364241/17994/","8.995411992934753E-4/2.3706809230986401E-57/0.9991004588007064/","2/3/","no"
"4","99860300","17811786/1622/4018/","0.0/0.8140098114338972/0.18599018856610286/","1/4/5/","no"
"5","102704400","90148/1359902687/2147483647/","1.0/0.0/0.0/","0/","no"
"0","104710500","453/234390286/93157409/","1.0/0.0/0.0/","0/","no"
"1","107922900","30230137/50/191073762/","0.0/1.0/0.0/","1/4/5/","no"
"2","106350500","72789/669/455732/","1.785517565641963E-47/1.0/1.0661936509581794E-295/","1/4/5/","no"
"3","101351400","930399/1284/50/","0.0/3.1029634036345144E-11/0.9999999999689704/","2/3/","no"
"4","101621600","17811786/1327/112196018/","0.0/1.0/0.0/","1/4/5/","no"
"5","103696800","10262/535091056/2147483647/","1.0/0.0/0.0/","0/","no"
"0","104438900","50/76174004/478056859/","1.0/0.0/0.0/","0/","no"
"1","102224900","93157409/50/234390286/","0.0/1.0/0.0/","1/4/5/","no"
"2","102546900","505/4290/50/","1.3346088794479016E-4/7.83233023381267E-37/0.9998665391120551/","2/3/","no"
"3","105679200","930399/1284/50/","0.0/3.1029634036345144E-11/0.9999999999689704/","2/3/","no"
"4","103564100","17811786/1622/112196018/","0.0/1.0/0.0/","1/4/5/","no"
"5","101110500","684464/85654808/2147483647/","1.0/1.2193771224530325E-54/0.0/","0/","no"
"0","111074100","50/93157409/234390286/","1.0/0.0/0.0/","0/","no"
"1","109848200","93157409/50/234390286/","0.0/1.0/0.0/","1/4/5/","no"
"2","102437000","505/4290/50/","1.3346088794479016E-4/7.83233023381267E-37/0.9998665391120551/","2/3/","no"
"3","106010600","930399/1284/50/","0.0/3.1029634036345144E-11/0.9999999999689704/","2/3/","no"
"4","100286600","2623541/435808/1783526897/","0.006561614619472549/0.9934383853805274/0.0/","1/4/5/","no"
"5","104222400","659829/2147483647/2147483647/","1.0/0.0/0.0/","0/","no"
"0","106902500","78/93157409/55693/","1.0/0.0/1.828867063266597E-306/","0/","no"
"1","103035700","30230137/50/191073762/","0.0/1.0/0.0/","1/4/5/","no"
"2","98969600","3030195/669/70013/","0.0/1.0/1.1250435230296098E-45/","1/4/5/","no"
"3","100916100","930399/1284/50/","0.0/3.1029634036345144E-11/0.9999999999689704/","2/3/","no"
"4","101346400","2795409/1622/112196018/","0.0/1.0/0.0/","1/4/5/","no"
"5","102652700","84838/1359902687/2147483647/","1.0/0.0/0.0/","0/","no"
"0","116393200","50/17698/478056859/","1.0/5.212884533539593E-151/0.0/","0/","yes"
"1","106900300","93157409/50/1469863019/","0.0/1.0/0.0/","1/4/5/","yes"
"2","102909000","48259941/675/69100/","0.0/1.0/1.0978238372522915E-44/","1/4/5/","yes"
"3","108302900","930399/2364241/188/","0.0/0.0/1.0/","2/3/","yes"
"4","112249600","17811786/1072/112196018/60359/","0.0/1.0/0.0/1.0085839906314458E-24/","1/4/5/","yes"
"5","112901300","25615/463537580/33011/2147483647/2147483647/","0.57168415821024/0.0/0.42831584178976/0.0/0.0/","0/","yes"
